year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,3,สมุทรสงคราม,324,744,324,744,0,0,"2023-01-16 07:37:07"
2022,3,แพร่,396,936,393,930,1,2,"2023-01-16 07:37:07"
2022,3,ชลบุรี,11010,43812,10590,41784,3,13,"2023-01-16 07:37:07"
2022,3,อำนาจเจริญ,348,1107,345,1101,0,0,"2023-01-16 07:37:07"
2022,3,ภูเก็ต,10497,29280,8019,21498,3,5,"2023-01-16 07:37:07"
2022,3,ขอนแก่น,6066,16101,6054,16059,3,7,"2023-01-16 07:37:07"
2022,3,ตาก,648,2160,642,2145,4,8,"2023-01-16 07:37:07"
2022,3,บุรีรัมย์,2439,7446,2439,7431,3,6,"2023-01-16 07:37:07"
2022,3,เพชรบูรณ์,774,2265,768,2256,2,3,"2023-01-16 07:37:07"
2022,3,ศรีสะเกษ,2136,5832,2133,5820,3,5,"2023-01-16 07:37:07"
2022,3,นครราชสีมา,3195,7128,3195,7119,3,17,"2023-01-16 07:37:07"
2022,3,ยะลา,354,1017,354,1017,1,8,"2023-01-16 07:37:07"
2022,3,ลำพูน,327,765,327,762,0,0,"2023-01-16 07:37:07"
2022,3,กระบี่,1206,3294,1110,2838,2,5,"2023-01-16 07:37:07"
2022,3,สระแก้ว,1230,2652,1203,2610,2,2,"2023-01-16 07:37:07"
2022,3,ลพบุรี,2112,4164,2112,4161,0,4,"2023-01-16 07:37:07"
2022,3,ยโสธร,435,1809,435,1806,0,0,"2023-01-16 07:37:07"
2022,3,สกลนคร,1125,2751,1125,2745,0,0,"2023-01-16 07:37:07"
2022,3,ลำปาง,558,2454,558,2451,0,4,"2023-01-16 07:37:07"
2022,3,กาญจนบุรี,1788,3711,1788,3708,2,5,"2023-01-16 07:37:07"
2022,3,นนทบุรี,7431,17955,7419,17931,1,1,"2023-01-16 07:37:07"
2022,3,อุทัยธานี,231,954,231,954,1,3,"2023-01-16 07:37:07"
2022,3,กาฬสินธุ์,993,3444,993,3438,2,2,"2023-01-16 07:37:07"
2022,3,ตรัง,603,2178,603,2157,1,7,"2023-01-16 07:37:07"
2022,3,จันทบุรี,1410,3198,1410,3192,2,4,"2023-01-16 07:37:07"
2022,3,มหาสารคาม,1539,4530,1536,4509,0,0,"2023-01-16 07:37:07"
2022,3,ปราจีนบุรี,1002,2859,999,2856,2,4,"2023-01-16 07:37:07"
